product_name,ingredients_text,serving_size
Monterey Jack Cheese,"Ingredients: pasteurized milk, cheese culture, salt and enzymes.",28 g (1 oz)
Diced Tomatoes,"Ingredients: tomatoes, tomato juice, less than 2% of: calcium chloride, citric acid.",121 g (0.5 cup)
Whole Grain Penne,"Whole durum wheat flour, semolina, oat fiber, niacin, ferrous sulfate (iron), thiamin mononitrate, riboflavin, folic acid.",56 g (0.66 cup)
Pure Baking Powder,"Cornstarch, sodium bicarbonate, sodium aluminium sulfate, monocalcium phosphate.",0.6 g (0.125 tsp)
Hot Sauce,"Aged red cayenne peppers, distilled vinegar, salt, natural flavor, xanthan gum.",5 ml (1 tsp)
"Classic Angel Hair Pasta, Enriched Macaroni Product","Semolina, niacin, ferrous sulfate (iron), thiamine mononitrate, riboflavin, folic acid.",56 g (2 oz)
Pepper Jack Cheese,"Ingredients: pasteurized milk, red and green jalapeno peppers, cheese cultures, salt and enzymes.",28 g (1 oz)
Sliced Ripe Olives,"Ripe olives, water, salt and ferrous gluconate added to stabilize color.",16 g (2 Tbsp)
Tonic Water Contains Quinine,"Carbonated water, invert sugar, citric acid, natural flavor, quinine hydrochloride.",296 ml (1 BOTTLE)
Sparkling Water,"Carbonated water, citric acid, natural flavor, potassium citrate, aspartame, potassium benzoate (a preservative), acesulfame potassium, inositol, malic acid, chamomile extract.",355 ml (12 fl oz)
Jalapeno Slices,"Jalapeno peppers, water, vinegar, salt, onions, garlic, calcium chloride, 0.1% sodium benzoate (preservative), and yellow 5.",28 g (1 oz)
Chocolate Chip Cookie Granulated Sweet Choice Brown Sugar Blend,"Sugar, molasses, glycerin, sucralose, natural flavors.",2 g (0.5 tsp)
Cannellini Beans,"Prepared cannellini beans, water, salt, calcium chloride (firming agent), disodium edta (to promote color retention).",130 g (0.5 cup)
Tortilla Chips,"Stone ground white corn, vegetable oil (contains one or more of the following: corn, sunflower, safflower, or canola oil), salt.",28 g (7 CHIPS | ABOUT)
Instant Mashed Potatoes,"Dehydrated potato with emulsifier (mono-and diglycerides) and preservative (sodium acid pyrophosphate, sodium bisulfite, citric acid).",19 g (0.33 cup)
Iced Coffee Sweet & Creamy,"Coffee (water, coffee extract), milk, sugar, high fructose corn syrup, cream, natural and artificial vanilla flavors, disodium phosphate and carrageenan.",240 ml (1 cup)
"Woven Wheats, Reduced Fat Woven Snack Crackers","Whole wheat**, vegetable oil (contains one or more of the following oils: palm, canola, soybean with tbhq for freshness), salt.",32 g (8 CRACKERS)
Apple Juice Beverage For Kids,"Filtered water, apple juice concentrate, natural flavors, ascorbic acid (vitamin c).",240 ml (8 fl oz)
Lemonade,"Filtered water, sugar, lemon juice concentrate, natural flavor.",240 ml (8 fl oz)
Dark Red Kidney Beans,"Prepared kidney beans, water, sugar, salt, and calcium chloride. disodium edta added as a preservative.",130 g (0.5 cup)
Diced Peaches In Strawberry Gelatin,"Water, diced peaches, sugar, carrageenan, locust bean gum, natural and artificial flavors, citric acid, potassium citrate, red #40.",113 g (113 g)
"Juice Cocktail From Concentrate, Cranberry","Filtered water, cranberry juice from concentrate, sugar, ascorbic acid (vitamin c).",240 ml (8 fl oz)
Crispy Bread Crumbs,"Bleached wheat flour, partially hydrogenated soybean oil, dextrose, salt dried yeast.",28 g (0.25 cup)
Restaurant Style White Corn Tortilla Chips,"Ground white corn, vegetable oil (contains one or more of the following: corn, sunflower, safflower, or canola oil), and salt.",28 g (7 CHIPS) | (ABOUT)
100% White Corn Tortilla Rounds Chips,"Ground white corn, vegetable oil (contains one or more of the following: corn, sunflower safflower, or canola oil), and salt.",28 g (9 CHIPS | ABOUT)
Bite Size Tortilla Chips,"Ground corn, vegetable oil (contains one or more of the following: corn, sunflower, safflower, or canola oil), and salt.",28 g (13 CHIPS | ABOUT)
Original Corn Chips Crispy Corn Snacks,"Corn, vegetable oil (contains one or more of the following: corn, cottonseed, sunflower, soybean, or canola oil), salt.",28 g (1 oz)
Whole Milk Mozzarella Cheese,"Pasteurized milk, vinegar, salt, enzyme.",30 g (1 oz)
Whipped Cream Cheese Spread,"Pasteuzied milk and cream, cheese culture, salt, stabilizers (carob bean and/or xanthan and/or guar gums), natamycin (a natural mold inhibitor).",20 g (2 Tbsp)
Diced Tomatoes,"Ingredients: tomatoes, tomato juice, sugar, salt, dried onion, dried garlic, calcium chloride, citric acid, dried parsley, natural flavor.",121 g (0.5 cup)
Garbanzo Beans Chickpeas,"Prepared chickpeas, water, salt, calcium chloride (firming agent), disodium edta added to promote color retention.",130 g (0.5 cup)
Granola Cereal,"Whole rolled oats, rolled wheat, brown sugar, expeller pressed canola oil, whey powder, coconut, natural almond flavor, salt.",58 g (0.5 cup)
Spaghetti,"Semolina, niacin, ferrous sulfate (iron, thiamin mononitrate, riboflavin, folic acid.",56 g (0.125 OF PKG)
Diet Cola,"Carbonated water, caramel color, aspartame, phosphoric acid, potassium citrate, potassium benzoate (preservative), natural flavor.",355 ml (12 fl oz)
Diet Ginger Ale,"Carbonated water, natural flavor, citric acid, aspartame, potassium benzoate (preservative), potassium citrate, carmel color.",355 ml (12 fl oz)
"Peach Flavored Soda, Peach","Carbonated water, high fructose corn syrup, citric acid, natural flavor, potassium benzoate (preservative), yellow 6, red 40.",355 ml (12 fl oz)
"Diet Dr. Perky, Diet Dr. Perky Soda","Carbonated water, caramel color, natural and artificial flavor, aspartame, phosphoric acid, potassium benzoate (preservative), caffeine, lactic acid, monopotassium phosphate.",355 ml (12 fl oz)
Diet Cola,"Carbonated water, caramel color, phosphoric acid, aspartame, potassium citrate, potassium benzoate (preservative), natural flavor, caffeine.",355 ml (12 fl oz)
Soda,"Carbonated water, high fructose corn syrup, citric acid, natural flavor, potassium citrate, potassium benzoate (preservative).",355 ml (12 fl oz)
"Soda, Strawberry","Carbonated water, high fructose corn syrup, citric acid. potassium benzoate (preservative), natural & artificial flavor, gum acacia, red 40.",355 ml (12 fl oz)
Soda,"Carbonated water, high fructose corn syrup, natural flavor, citric acid, potassium benzoate (preservative), caramel color.",355 ml (12 fl oz)
Diet Ginger Ale,"Carbonated water, natural flavor, citric acid, aspartame, potassium benzoate (preservative), potassium citrate, caramel color.",355 ml (12 fl oz)
Diet Cola,"Carbonate water, caramel color, aspartame phosphoric acid, potassium citrate, potassium benzoate (preservative), natural flavor.",355 ml (12 fl oz)
"Original Soda, Strawberry","Carbonated water, high fructose corn syrup, citric acid, potassium benzoate (preservative), natural & artificial flavor, gum acacia, red 40.",355 ml (12 fl oz)
"Soda, Lemon Lime","Carbonated water, citric acid, natural flavor, potassium citrate, potassium benzoate (preservative), aspartame, acesulfame potassium.",355 ml (12 fl oz)
Cream Soda,"Carbonated water, high fructose corn syrup, natural and artificial flavor, potassium benzoate (preservative), caramel color, citric acid.",355 ml (12 fl oz)
Diet Cola,"Carbonated water, caramel color, phosphoric acid, aspartame, potassium citrate, potassium benzoate (preservatives), natural flavor, caffeine.",355 ml (12 fl oz)
Purified Water,"Purified water, calcium chloride, sodium bicarbonate.",16.9 ml (1 BOTTLE)
Salad Dressing,"Water, soybean oil, sugar, vinegar, egg yolks modified food starch, salt, dextrose, dried garlic, dried onion and natural flavors.",15 g (1 Tbsp)
Real Mayonnaise,"Soybean oil, vinegar, egg yolks, water, sugar, salt, lemon juice, calcium disodium edta (as a preservative) and natural flavors.",1 tbsp (14 g)
Real Mayonnaise,"Soybean oil, vinegar, egg yolks, water, sugar, salt, lemon juice, calcium disodium edta ( as a preservative) and natural flavor.",14 g (1 Tbsp)
Parmesan Cheese,"Parmesan cheese (pasteurized part-skim milk, cheese culture, salt, enzymes), cellulose powder to prevent caking potassium sorbate to protect flavor",5 g (2 tsp)
Classic Style Pasta Sauce,"Tomato puree (water, tomato paste), water, salt, carrot fiber, soybean oil, citric acid, dried garlic, spices, natural flavor",125 g (0.5 cup)
Lemonade,"Filtered water, sugar, concentrated lemon juice, natural lemon aroma, lemon oil.",240 ml (8 fl oz)
"Fruit Beverage, Raspberry, Lemonade","Filtered water, sugar, concentrated lemon juice, concentrated raspberry juice.",240 ml (8 fl oz)
Soy Sauce,"Ingredients: water, salt, corn syrup, hydrolyzed corn and soy, protein, caramel color, lactic acid, potassium sorbate (preservative).",15 ml (1 Tbsp)
Mixed Fruit,"Strawberries, peaches, mango, pineapple, red seedless grapes.",100 g (1 cup)
Crumbled Feta Cheese,"Feta cheese (pasteurized part - skim milk, cheese cultures, salt, enzymes), powdered cellulose (to prevent caking), natamycin (to protect flavor).",28 g (1 ONZ)
Half & Half Milk And Cream,"Milk, cream and disodium phosphate.",30 ml (2 Tbsp)
Cultured Buttermilk,"Cultured milk, contains less than 1% of: food starch-modified (corn), locust bean gum, carrageenan, salt, sodium citrate.",240 ml (1 cup)
2% Reduced Fat Milk,"Reduced fat milk, nonfat milk, vitamin a palmitate, vitamin d3.",354 ml (1 CONTAINER)
Sweet Tea,"Water, high fructose corn syrup, tea powder, citric acid, caramel color, natural flavor, sodium benzoate and potassium sorbate (as preservatives).",240 ml (8 fl oz)
Sweet Tea,"Water, sugar, black tea, natural tea flavor, citric acid, sodium benzoate and potassium sorbate (preservatives).",240 ml (8 fl oz)
Fat Free Half & Half Ultra-Pasteurized Grade A,"Fat free milk, corn syrup, cream**, artifical color*, disodium phosphate, carrageenan, guar gum and vitamin a palmitate.",30 ml (2 Tbsp)
Original Grade A Sour Cream,"Cultured pasteurized light cream, nonfat milk and enzymes.",30 g (2 Tbsp)
Natural Mild Cheddar Cheese Cubes,"Pasteurized milk, cheese culture, salt, enzymes and annatto (vegetable color). natamycin (a natural mold inhibitor).",28 g (3 CUBES)
Creamy Peanut Butter,"Roasted peanut, sugar, contains 2% or less of: fully hydrogenated vegetable oils (rapeseed, cottonseed, soybean), salt, molasses.",32 g (2 Tbsp)
Crunchy Peanut Butter,"Roasted peanuts, sugar, contains 2% or less of: fully hydrogenated vegetable oils (rapeseed, cottonseed, soybean), salt, molasses.",32 g (2 Tbsp)
All-Purpose Shortening,"Liquid and partially hydrogenated soybean, hydrogenated cottonseed oil, vegetable mono & diglycerides.",12 g (1 Tbsp)
Sweet Brewed Tea,"Filtered water, sugar, brewed tea, caramel color, potassium sorbate (for freshness), phosphoric acid.",240 ml (8 fl oz)
Classic Unsweetened Brewed Tea,"Filtered water, brewed tea, caramel color, potassium sorbate (for freshness), phosphoric acid.",240 ml (8 fl oz)
Sliced Strawberries,Strawberries and sucralose (splenda brand).,140 g (1 cup)
All Purpose Flour,"Enriched bleached wheat flour (contains bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin and folic acid), malted barley flour.",30 g (0.25 cup)
All-Purpose Flour,"Enriched bleached wheat flour (contains bleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, and folic acid), malted barley flour.",30 g (0.25 cup)
Unbleached All Purpose Flour,"Enriched unbleached wheat flour (contains unbleached wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin and folic acid), malted barley flour.",30 g (0.25 cup)
Salad Dressing,"Water, soybean oil, sugar,vinegar, egg yolks, modified food starch,salt, dextrose, dried garlic, dried onion and natural flavors.",15 g (1 Tbsp)
Natural Baby Swiss Cheese Slices,"Pasteurized part-skim milk, cheese culture, salt, and enzymes.",20 g (1 SLICE)
Cooked Ham,"Cured with: water, dextrose, salt, contains 2% or less of: potassium lactate, sodium phosphates, sodium diacetate, sodium erythorbate, sodium nitrite.",28 g (1 SLICE)
100% Orange Juice From Concentrate,"Water, orange juice concentrate, calcium malate*, vitmain d3*.",240 ml (8 fl oz)
Orange Juice,"Water, orange juice concentrate, calcium malate*, vitamin d3*.",240 ml (8 fl oz)
"Nonfat Yogurt, Plain","Cultured pasteurized nonfat milk, whey protein concentrate, nonfat milk solids and whey.",227 g (1 cup)
Whole Peeled Tomatoes,"Ingredients: tomatoes, tomato juice, contains less than 2% of: salt, calcium chloride, citric acid.",121 g (0.5 cup)
"Juice Cocktail From Concentrate, Apple","Filtered water, high fructose corn syrup, apple juice concentrate, malic acid, natural flavors, ascorbic acid (vitamin c), caramel color.",240 ml (8 fl oz)
"Juice, Orange","Concentrated orange juice, water, calcium phosphate, calcium lactate, citric acid.",60 ml (8 FL.OZ. PREPARED | MAKES)
Whole Evaporated Milk,"Milk. dipotassium phosphate, carrageenan, vitamin d3.",30 ml (2 Tbsp)
Evaporated Skim Milk,"Nonfat milk, dipotassium phosphate, vitamin a palmitate, vitamin d3.",30 ml (2 Tbsp)
Iodized Salt & Pepper,"Salt ingredients: salt, sodium silicoaluminate, dextrose, potassium iodide. pepper ingredients: pure black pepper.",1.5 g (0.25 tsp)
White Rice,"Enriched long grain rice [rice, niacin, iron (ferric orthophosphate), thiamin (thiamin mononitrate), folic acid].",45 g (0.75 CUP PREPARED | MAKES)
White Rice,"Enriched precooked long grain rice (rice, niacin, iron [ferric orthophosphate], thiamin [thiamin mononitrate], folic acid).",59 g (1 CUP PREPARED | MAKES ABOUT)
Spreadable Butter With Canola Oil,"Water, pasteurized butter (derived from milk), canola oil, salt, distilled monoglycerides, potassium sorbate.",14 g (1 Tbsp)
Spreadable Butter With Canola Oil,"Pasteurized butter (derived from milk), canola oil, salt.",14 g (1 Tbsp)
Cashews Halves & Pieces,"Cashews, peanut and/or canola and/or cottonseed oil, sea salt",28 g (0.25 CUP | ABOUT)
Mixed Nuts,"Cashews, almonds, brazil nuts, hazelnuts, pecans, peanut and/or canola and/or cottonseed oil, sea salt.",28 g (20 PIECES | ABOUT)
"Pistachio Kernels, Sea Salt","Pistachio kernels, peanut and/or canola and/or cottonseed oil, salt.",28 g (50 PIECES | ABOUT)
"Almonds, Roasted & Sea Salted","Almonds, peanut and/or canola and/or cottonseed oil, sea salt.",28 g (26 PIECES | ABOUT)
"Almonds, Smoke","Almonds, peanut and/or canola and/or cottonseed oil, sea salt, maltodextrin, hydrolyzed soy protein, autolyzed yeast, natural hickory smoke flavor.",28 g (26 PIECES | ABOUT)
Grape Jelly,"Concord grapes, corn syrup, high fructose corn syrup, fruit pectin, citric acid, sodium citrate.",20 g (1 Tbsp)
Bratwurst,"Pork, water, corn syrup and less than 2% of the following: salt, dextrose, flavoring, bha, propyl gallate, citric acid",69 g (1 GRILLED LINK)
Orange Slices,"Sugar, corn syrup, corn starch, modified corn starch, natural flavors, yellow 6.",40 g (3 PIECES)
Circus Peanuts,"Sugar, corn syrup, gelatin pectin, artificial flavor, color added (includes: yellow 6, yellow 5, red 40)",38 g (5 peanuts)
"Candy, Butterscotch","Glucose syrup, sugar, salt, artificial color (fd&c yellow #5 and yellow #6), artificial flavors",18 g (3 PIECES)
"Candy, Spearmint Leaves","Sugar, corn syrup, cornstarch, modified corn starch, natural spearmint oil, artificial colors (including yellow 5, blue 1)",40 g (3 PIECES)
Rootbeer Barrels Candy,"Corn syrup, sugar, artificial flavor, artificial colors (fd&c yellow #6, yellow #5, red #3, and blue #1).",18 g (3 PIECES)
Red Fish,"Sugar, corn syrup, modified corn starch, invert sugar, citric acid, natural and artificial flavor, vegetable oil, and red 40.",40 g (7 PIECES)
Simple Blend Ketchup,"Tomato concentrate, sugar, distilled vinegar, salt, less than 2% of onion powder, spice, natural flavors",17 g (1 Tbsp)
Sriracha Sauce,"Aged red peppers, vinegar, sugar, tomato paste, garlic powder, natural flavors, xanthan gum, sodium benzoate, potassium sorbate, garlic oil",5 ml (5 ml)
Chunk Light Tuna In Water,"Chunk light tuna, water, vegetable broth (contains soy), salt.",56 g (2 ONZ)
Solid White Albacore Tuna In Water,"Solid white tuna, water, vegetable broth (contains soy), salt, pyrophosphate.",56 g (2 ONZ)
Semi - Sweet Chocolate Morsels,"Sugar, chocolate liquor, cocoa butter, milk fat, (milk), soy lecithin (an emulsifier), vanillin (an artificial flavor), and natural flavors.",15 g (1 Tbsp)
Semi-Sweet Chocolate Morsels,"Sugar. chocolate liquor, cocoa butter, milk fat (milk), soy lecithin, (an emulsifier), vanillin (an artificial flavor), and natural flavors.",15 g (1 Tbsp)
White Baking Chips,"Sugar, palm kernel and palm oil, non fat dry milk, whole milk powder, soy lecithin (an emulsifier), salt, artificial flavor.",15 g (1 Tbsp)
"Baked Whole Wheat Crackers, Original","Whole wheat, canola and/or soybean and/or palm oil with tbhq added to preserve freshness, salt.",28 g (6 CRACKERS)
"Woven Wheats, Baked Whole Wheat Crackers","Whole grain wheat, canola and/or soybean and/or palm oil with tbhq added as a preservative, salt.",31 g (7 CARCKERS)
Beef Bologna,"Beef, water, corn syrup, flavorings, salt, dextrose, potassium lactate, sodium phosphates, sodium diacetate, sodium erythorbate, sodium nitrite.",32 g (1 SLICE)
Pizza Sauce,"Ingredients: tomato puree (water, tomato paste), soybean oil, salt, spices, parsley, natural flavor, citric acid.",63 g (0.25 cup)
"Microwave Popcorn, Butter","Popping corn, palm oil, salt, less than 2% of: natural flavor, butter, color added, tbhq and citric acid (for freshness).",35 g (2 Tbsp)
Microwave Popcorn,"Popping corn, palm oil, less than 2% of: salt, natural flavor, butter, color added, tbhq and citric acid (for freshness).",45 g (1 BAG AS PACKAGED)
"Popcorn, Light Butter","Popping corn, palm oil, salt, less than 2% of: butter, natural flavor, color added, tbhq and citric acid (for freshness).","42 g (2 , PER CARTON ABOUT 12 | PER BAG ABOUT)"
Cut Green Beans,"Green beans, water, and salt.",120 g (0.5 cup)
Whole Kernel Corn,"Corn, water, sugar, and salt.",125 g (0.5 cup)
Pie Filling & Topping,"Ingredients: cherries, sugar, water, food starch-modified (corn), ascorbic acid, citric acid, red 40 color.",85 g (0.33 cup)
Pie Filling & Topping,"Strawberries, sugar, water, food starch-modified (corn), disodium edta (to maintain color), citric acid, red 40 color.",85 g (0.33 cup)
"Pie Filling & Topping, Blueberry","Blueberries, water, sugar, foods starch-modified (corn) and citric acid.",85 g (0.33 cup)
Roasted & Salted Sunflower Seeds,"Sunflower seeds, peanut oil, salt.",30 g (0.25 cup)
Pasteurized Lemonade,"Filtered water, sugar, concentrated lemon juice.",240 ml (8 fl oz)
Milk Chocolate Rabbit,"Milk chocolate (sugar, cocoa butter, whole milk powder, chocolate liquor, nonfat dry milk powder, anhydrous milkfat, soy lecithin-an emulsifier, vanilla).",40 g (1.4 ONZ)
Ivory Rabbit Fine Chocolate,"White chocolate (sugar, cocoa butter, whole milk powder, soy lecithin-an emulsifier, natural vanilla flavor).",40 g (1.4 ONZ)
Classic Blend Cole Slaw,"Green cabbage, carrots, red cabbage",57 g (2 oz)
Stir Fry Oriental Blend,"Naoa,bok choy, celery waterchestnuts, pea pods, and carrots.",85 g (1.5 cup)
"Gourmet Blend, Clover, Cabbage & Fenugreek","Clover, cabbage and fenigreek sprouts.",28 g (1 oz)
Stick Pack,"Celery, carrots (calcium chloride, ascorbic (vitamin c) and calcium carbonate) for color retention",85 g (3 oz)
Chopped Beef Liver Spread,"Beef liver, onions, vegetable oil, matzo meal (flour & water), salt, seasoning (sugar, sodium diacetate sodium citrate), flavoring, pepper.",56 g (2 oz)
Roasted Peanut Expeller Pressed Oil,Expeller pressed pure peanut oil,14 g (1 Tbsp)
"Loriva, Dressing Oil, Garlic","Canola oil, olive oil and natural garlic flavor.",15 ml (1 Tbsp)
Cider Coffee,"Sugar, malic acid, natural and artificial flavor, sodium citrate, tricalcium phosphate, caramel color, ascorbic acid (vitamin c), acesulfame potassium, sucralose.",16 g (1 SINGLE SERVE CUP)
Iced Tea & Lemonade,"Sugar, instant black tea, natural flavors, citric acid, sucralose, silicon dioxide.",7 g (1 cup)
Splash,"Sugar, coconut juice powder, dipotassium phosphate, citric acid, magnesium oxide, natural flavor, ascorbic acid (vitamin c), silicon dioxide, sucralose.",7 g (1 cup)
"Coconut Splash, Flavored Water Mix, Pineapple Coconut","Sugar, coconut juice powder, dipotassium phosphate, citric acid, natural flavor, magnesium oxide, ascorbic acid (vitamin c), silicon dioxide, sucralose.",7 g (1 SINGLE SERVE CUP)
Potato Pancakes,"Potatoes, Onions, Water, Dehydrated Potatoes, Canola Oil, Matzoh Meal (_Wheat_), _Egg_ Whites, _Egg_, Salt, White Pepper",2 pancakes (75 g)
Polenta,"Yellow cornmeal (degerminated), niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid, beta carotene.",35 g (0.25 cup)
Apple Peach Sauce,"Organic apples, organic peach puree, organic apple juice concentrate, organic natural flavor, ascorbic acid (to maintain color).",127 g (0.5 cup)
Apple Sauce,"Organic apples, ascorbic acid (to maintain color).",125 g (0.5 cup)
Cinnamon Apple Sauce,"Organic apples, organic apple juice concentrate, organic cinnamon, ascorbic acid (to maintain color).",127 g (0.5 cup)
Homemade Style Pizza Sauce,"Tomato puree (water, tomato paste), soybean oil, salt, spices, natural flavor.",63 g (0.25 cup)
Traditional Pizza Quick Snack Sauce,"Tomato puree (water, tomato paste), soybean oil, salt, modified food starch, dried onions, spices, sugar, natural flavor.",63 g (0.25 cup)
"Sauce, Hearty Traditional","Tomato puree (water, tomato paste), soybean oil, salt, sugar, dehydrated onion, spices, extra virgin olive oil, natural flavor.",125 g (0.5 cup)
"Edwards, Pepper Coated Virginla Bacon, Hickory Smoked","Cured with; salt, sugar, pepper, and sodium nitrite.",56 g (2 ONZ)
Organic Raisins,"Organic thompson seedless raisins, organic sunflower oil.",40 g (0.25 cup)
Organic Tamari Sunflower Seeds,"Organic dry roasted sunflower seeds, organic wheat-free tamari soy sauce (water, organic soybeans, slat, organic alcohol (to preserve freshness).",34 g (0.25 cup)
Organic Cashews Salted,"Organic cashews, organic sunflower oil, salt",30 g (23 PCS)
Red Jelly Hearts,"Sugar, corn syrup, modified food starch, natural and artificial flavor, citric acid, sodium citrate, artificial colors (including fd&c red 40)",39 g (4 PICS)
Cranberry Fitness Snacks,"Cranberries, peanuts (product of usa), raisins, sunflower kernels, pepitas, walnuts, sugar, citric acid, elderberry juice concentrate, sunflower oil, peanut oil.",30 g (0.25 cup)
Cranberry Fitness Mix,"Cranberries, peanuts, raisins, sunflower kernels, pepitas, walnuts, sugar, citric acid, elderberry juice concentrate, sunflower oil, peanut oil.",30 g (0.25 cup)
Dried Apricots,"Apricots, sulphur dioxide added as a preservative to promote color retention.",30 g (5 PCS)
Dried Kiwi,"Kiwi, sugar, sulfur dioxide, citric acid, color added: blue fcf and tartrazine (mixes color).",30 g (1 oz)
The Good Snack People Foods,"Cantaloupe, sugar, citric acid, sulfur dioxide and artificial flavors.",28 g (1 oz)
Dried Strawberries,"Strawberry, sugar, citric acid, sulphur dioxide, us fd&c red #40, strawberry flavoring.",28 g (1 oz)
Green Beans,"Green beans, non hydrogenated canola oil, dextrin, sea salt.",28 g (1 ONZ)
Banana Chips,"Bananas, vegetable and/or coconut oil, turbinado sugar, and banana flavor.",30 g (0.25 cup)
Whole Almonds,"Almonds, peanut oil, and salt",30 g (0.25 cup)
Salted Sunflower Kernels,"Sunflower kernels, sunflower oil and/or peanut oil, with citric acid added as a preservative, and salt.",30 g (3 Tbsp)
Dark Chocolate Almonds,"Dark chocolate (sugar, chocolate liquor, cocoa butter, chocolate liquor processed with alkali, soy lecithin [emulsifier], salt, vanilla), almonds, confectioners glaze.",30 g (9 PCS)
Wasabi Peas,"Green peas, corn starch, wasabi flavor, liquid sugar, vegetable oil, salt. artificial colors: us fd&c yellow #5, blue #1.",30 g (0.25 cup)
Vegetable Radiatore Organic Pasta,"Organic durum wheat semolina, spinach, beet, red bell pepper, paprika.",56 g (0.75 cup)
Lemon & Garlic Olives Pitted,"Pitted halkidiki olives, water, sea salt, spices (dried garlic, spice blend), sunflower oil, citric acid, lemon, canola oil, olive oil.",15 g (3 PIECES)
Kalamata Pitted Olives,"Pitted kalamata olives, water, red wine vinegar, sea salt, sunflower oil, grape must.",15 g (3 PIECES)
Classic Oven-Baked Parmesan Crisp Snacks,"Parmesan cheese (pasteurized cow's milk, caltures, salt, enzymes).",5 g (1 Tbsp)
"Parm Crisps Snacks, Red Pepper","Parmesan cheese (pasteurized cow's milk, cultures, salt, enzymes), red chili flakes.",5 g (1 Tbsp)
"Parm Crisps, Garlic","Parmesan cheese (pasteurized cow's milk, cultures, salt, enzymes), garlic.",5 g (1 Tbsp)
Asian Stir-Fry Vegetablels,"Broccoli, onion, bell pepper, snow peas, shiitake mushrooms.",85 g (0.33 cup)
"Grillo's Pickles, Half Sour Pickles","Cucumbers, water, salt, garlic, lemon, yeast, herbs and spices.",100 g (1 PICKLE)
Carrot Ginger Soup,"Water, carrots, onion, ginger, canola oil, sea salt, black pepper, nutmeg.",245 g (1 cup)
"Soup, Roasted Tomato Basil","Tomato (tomatoes, salt, calcium chloride, citric acid), onion, leek, water, garlic, basil, canola oil, olive oil, sea salt, oregano, pepper.",245 g (1 cup)
Classic Mashed Potatoes,"Potatoes, whole milk, butter (sweet cream, salt), salt, nisin preparation.",140 g (0.5 cup)
Diced Jalapenos,Jalapeno peppers and citric acid,42 g (2 Tbsp)
Diced Green Chiles,"Green chile pepper, salt, citric acid.",42 g (2 Tbsp)
Green Tea,"Milk chocolate, (sugar, chocolate liquor, cocoa butter, milk, soya lecithin emulsifier, pure vanilla), ginger, green tea.",28 g (1 BAR)
"Torn Ranch, Infused Milk Chocolate, Masala & Black Tea","Milk chocolate, (sugar, chocolate liquor, pure vanilla, milk cocoa butter, soya lecithin emulsifier), chai tea, natural flavor.",28 g (1 BAR)
"Torn Ranch, Snappy Ginger Cookies","Organic wheat flour, crystallized organic cane juice, butter, molasses, eggs, ginger, spices, baking powder, sea salt, natural flavors.",28 g (4 COOKIES)
"Torn Ranch, Infused Dark Chocolate, Raspberry & Coffee","Dark chocolate (chocolate liquor, sugar, cocoa butter), soya lecithin emulsifier, pure vanilla, coffee paste, natural raspberry flavor.",28 g (1 BAR)
"Torn Ranch, Milk Chocolate, Irish Cream & Coffee","Milk chocolate (sugar, chocolate liquor, milk, cocoa butter), soya lecithin emulsifier, pure vanilla, coffee paste, natural irish cream flavor.",28 g (1 BAR)
Oatmeal,"Rolled oats, sugar, modified food starch, salt, vitamin mix, natural and artificial flavors, spices, tricalcium phosphate (anticaking agent)",74 g (74 GRM)
"Mira, Premium Tropical Light Nectar, Mango","Filtered water, mango puree, sugar, sucralose, cellulose gum, citric acid, ascorbic acid, natural mango flavor, beta carotene.",240 ml (8 fl oz)
"Mira, Premium Tropical Mango Nectar, Mango","Filtered water, mango puree, sugar, cellulose gum, citric acid, ascorbic acid, natural mango flavor, beta carotene.",240 ml (8 fl oz)
"Mira, Nectar, Pineapple Nectar","Water, pineapple pulp, sugar, citric acid, ascorbic acid, natural flavor",200 ml (6.7 fl oz)
"Mira, Azul, Coconut Juice","Young coconut juice, water, sugar, young coconut meat, sodium carboxymethyl cellulose, malic acid and sodium metabisulphite",290 ml (8.5 fl oz)
Premium Tropical Nectar,"Water, mango pulp, sugar, banana puree, xanthan gum, cmc, natural banana flavor, beta carotene, ascorbic acid.",240 ml (8 fl oz)
Mango Pina Colada,"Ingredients: water, sugar, mango pulp, pineapple concentrate, cmc, pectin, xanthan gum, natural coconut flavor, beta carotene, ascorbic acid.",240 ml (1 CONTAINER)
"Mira, Premium Tropical Nectar, Strawberry, Banana","Filtered water, strawberry puree, sugar,banana puree, carmine (natural color), guar gum, natural flavor.",240 ml (8 fl oz)
Chunky Salsa,"Ingredients: tomatoes, water, onions, cucumber, sweet peppers, hot peppers, vinegar, tomato puree, garlic, salt, spices, w.i. herbs, sugar, xanthan gum.",30 g (2 Tbsp)
Tomato Ketchup,"Tomato puree, water, cane sugar, vinegar, modified corn starch, salt, spices, permitted sodium benzoate, natural spice flavours.",15 ml (1 Tbsp)
"Matouk's, Mango Jam, Mango","Mango pulp, cane sugar, glucose syrup, water, pectin, high fructose corn syrup, citric acid, soybean oil.",19 g (1 Tbsp)
